County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Washington (entire state),6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893
"Adams County, Washington",18790,18877,18944,19098,19177,19233,19369,19651,19736,19983
"Asotin County, Washington",21725,21971,21909,22129,22190,22113,22286,22509,22616,22582
"Benton County, Washington",176465,180436,182373,184318,186489,190218,193494,198200,201286,204390
"Chelan County, Washington",72750,73214,73472,73723,74121,75041,75855,76298,76752,77200
"Clallam County, Washington",71503,71762,71766,72046,72467,73202,74240,75637,76551,77331
"Clark County, Washington",426704,432283,436361,441341,448202,456939,465272,474381,481427,488241
"Columbia County, Washington",4094,4005,3977,4002,3985,3960,3975,4002,4039,3985
"Cowlitz County, Washington",102358,102309,101663,101483,101790,102999,104740,106805,108752,110593
"Douglas County, Washington",38514,38662,39197,39387,39773,40545,41366,42027,42749,43429
"Ferry County, Washington",7545,7639,7663,7594,7592,7520,7531,7576,7638,7627
"Franklin County, Washington",79077,83051,85698,86448,87665,88727,90199,91896,94003,95222
"Garfield County, Washington",2261,2237,2209,2237,2201,2222,2246,2215,2240,2225
"Grant County, Washington",89558,90594,91300,91701,92897,93527,94221,95357,96672,97733
"Grays Harbor County, Washington",72848,72366,71773,71046,70780,71011,71531,72490,73801,75061
"Island County, Washington",78693,78941,79039,78198,78690,80022,81692,83250,84227,85141
"Jefferson County, Washington",29899,29853,29800,30004,30147,30339,30910,31210,31746,32221
"King County, Washington",1938351,1974200,2011197,2047223,2085225,2126178,2166350,2203836,2228364,2252782
"Kitsap County, Washington",251681,254297,254339,252401,253387,259232,263142,266289,269276,271473
"Kittitas County, Washington",40990,41554,41624,41828,42596,43095,44922,46176,47358,47935
"Klickitat County, Washington",20376,20689,20638,20871,20863,21005,21286,21751,22136,22425
"Lewis County, Washington",75502,75668,75435,74962,74844,75437,76693,78320,79569,80707
"Lincoln County, Washington",10573,10526,10429,10295,10224,10285,10335,10585,10726,10939
"Mason County, Washington",60733,60870,60681,60474,60604,60991,62142,63740,65380,66768
"Okanogan County, Washington",41229,41334,41183,41053,41236,41356,41579,41915,42117,42243
"Pacific County, Washington",20879,20884,20582,20442,20564,20869,21285,21742,22074,22471
"Pend Oreille County, Washington",12950,12954,13003,12885,12919,13087,13131,13358,13586,13724
"Pierce County, Washington",795390,807623,815535,821012,832696,843778,862895,879654,893756,904980
"San Juan County, Washington",15783,15845,15848,15909,16009,16198,16309,16729,17124,17582
"Skagit County, Washington",116944,117578,117714,118255,119966,121559,123603,125860,127835,129205
"Skamania County, Washington",11116,11154,11200,11308,11377,11375,11581,11809,11919,12083
"Snohomish County, Washington",715500,722068,732097,744112,757239,769698,787110,802089,813059,822083
"Spokane County, Washington",472081,473436,475447,478332,482857,488610,496889,505623,513603,522798
"Stevens County, Washington",43472,43453,43483,43271,43479,43553,44141,44636,45224,45723
"Thurston County, Washington",253001,256386,258527,261852,264909,267978,273714,280269,286056,290536
"Wahkiakum County, Washington",3983,3992,4000,4034,4043,4023,4161,4251,4415,4488
"Walla Walla County, Washington",58915,59444,59329,59361,59510,59932,60008,60512,60615,60760
"Whatcom County, Washington",201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
"Whitman County, Washington",44796,45056,46633,46792,46918,48164,48824,49382,49683,50104
"Yakima County, Washington",244256,245926,246127,246485,246870,247800,249327,249922,250562,250873
