SampleID,Matrix,Metformin in working solution (ng/uL),Volume working solution added (uL),metformin peak area,d6-metformin peak area
standard 0 A,Blank plasma A,0.143588283,0,5254.481209,1796897.695
standard 1 A,Blank plasma A,0.143588283,1,145462.452,1793682.748
standard 2 A,Blank plasma A,0.143588283,2,279270.6759,1787452.77
standard 5 A,Blank plasma A,0.143588283,5,682609.5382,1720372.929
standard 10 A,Blank plasma A,0.143588283,10,1163889.573,1640676.231
standard 25 A,Blank plasma A,0.143588283,25,2892956.714,1540300.851
standard 50 A,Blank plasma A,0.143588283,50,4786242.397,1410642.396
standard 75 A,Blank plasma A,0.143588283,75,6208608.072,1259325.369
standard 100 A,Blank plasma A,0.143588283,100,7310430.2,1166749.878
standard 125 A,Blank plasma A,0.143588283,125,8722914.567,1135607.761
standard 175 A,Blank plasma A,0.143588283,175,10457347.02,1013160.823
standard 200 A,Blank plasma A,0.143588283,200,11203578.32,948531.1005
standard 0 B,Blank plasma B,0.143588283,0,7727.701246,1886104.282
standard 0.5 B,Blank plasma B,0.143588283,0.5,14032.08187,1902036.331
standard 1 B,Blank plasma B,0.143588283,1,153235.9663,1919529.207
standard 2 B,Blank plasma B,0.143588283,2,280378.5974,1875666.471
standard 5 B,Blank plasma B,0.143588283,5,780587.5923,1847801.948
standard 10 B,Blank plasma B,0.143588283,10,1328534.938,1859868.341
standard 25 B,Blank plasma B,0.143588283,25,3076815.155,1680142.817
standard 50 B,Blank plasma B,0.143588283,50,5029093.109,1496751.932
standard 75 B,Blank plasma B,0.143588283,75,6696459.065,1391843.818
standard 100 B,Blank plasma B,0.143588283,100,7796156.586,1258857.234
standard 125 B,Blank plasma B,0.143588283,125,8986226.17,1179133.457
standard 175 B,Blank plasma B,0.143588283,175,11048209.65,1055008.478
standard 200 B,Blank plasma B,0.143588283,200,11794087.52,990892.9205
standard 0 C,Blank plasma C,0.143588283,0,5397.286866,1670584.989
standard 1 C,Blank plasma C,0.143588283,1,145111.3171,1728565.41
standard 2 C,Blank plasma C,0.143588283,2,294963.816,1816881.935
standard 5 C,Blank plasma C,0.143588283,5,602236.8198,1616887.892
standard 10 C,Blank plasma C,0.143588283,10,1128860.325,1769445.943
standard 25 C,Blank plasma C,0.143588283,25,3060158.664,1667823.603
standard 50 C,Blank plasma C,0.143588283,50,5538286.51,1660092.658
standard 75 C,Blank plasma C,0.143588283,75,6466341.592,1329952.755
standard 100 C,Blank plasma C,0.143588283,100,7952877.86,1288518.629
standard 125 C,Blank plasma C,0.143588283,125,8882019.328,1140810.768
standard 175 C,Blank plasma C,0.143588283,175,11047259.07,1055719.439
standard 200 C,Blank plasma C,0.143588283,200,11913442.4,980298.36
